Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Josh Anderson,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,226,2012,4,95,20142015,N,315,82,57,139
Matt Anderson,R,R,1982-10-31,West Islip,NY,USA,USA,71,195,--,--,--,20122013,N,2,0,1,1
Mikey Anderson,L,D,1999-05-25,Fridley,MN,USA,USA,72,197,2017,4,103,20192020,N,53,2,10,12
Jaret Anderson-Dolan,L,C,1999-09-12,Calgary,AB,CAN,CAN,71,188,2017,2,41,20182019,N,36,6,5,11
Joakim Andersson,L,C,1989-02-05,Munkedal,--,SWE,SWE,74,211,2007,3,88,20112012,N,205,15,21,36
Jonas Andersson,L,R,1981-02-24,Lidingo,--,SWE,SWE,75,204,1999,2,33,20012002,N,4,0,0,0
Lias Andersson,L,C,1998-10-13,Smogen,--,SWE,SWE,73,190,2017,1,7,20172018,N,82,6,6,12
Rasmus Andersson,R,D,1996-10-27,Malmö,--,SWE,SWE,73,214,2015,2,53,20162017,N,210,11,49,60
Andy Andreoff,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,203,2011,3,80,20142015,N,179,13,12,25
Sven Andrighetto,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20142015,N,216,31,52,83
Mike Angelidis,L,L,1985-06-27,Woodbridge,ON,CAN,CAN,73,214,--,--,--,20112012,N,14,2,0,2
Anthony Angello,R,R,1996-03-06,Albany,NY,USA,USA,77,210,2014,5,145,20192020,N,27,3,2,5
Artem Anisimov,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,769,180,195,375
Victor Antipin,L,D,1992-12-06,Ust-Kamenogorsk,--,KAZ,RUS,71,175,--,--,--,20172018,N,47,0,10,10
Nik Antropov,L,C,1980-02-18,Ust-Kamenogorsk,--,KAZ,KAZ,78,245,1998,1,10,19992000,N,261,61,100,161
Mason Appleton,R,C,1996-01-15,Green Bay,WI,USA,USA,74,193,2015,6,168,20182019,N,133,17,23,40
Darren Archibald,L,R,1990-02-09,Newmarket,ON,CAN,CAN,75,210,--,--,--,20132014,N,55,6,8,14
Josh Archibald,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,228,39,29,68
Mark Arcobello,R,R,1988-08-12,Milford,CT,USA,USA,68,174,--,--,--,20122013,N,139,24,29,53
Joel Armia,R,R,1993-05-31,Pori,--,FIN,FIN,75,212,2011,1,16,20142015,N,331,62,63,125
Colby Armstrong,R,R,1982-11-23,Lloydminster,SK,CAN,CAN,74,185,2001,1,21,20052006,N,195,26,34,60
Derek Armstrong,R,C,1973-04-23,Ottawa,ON,CAN,CAN,72,197,1992,6,128,19931994,N,6,0,0,0
Jamie Arniel,R,C,1989-11-16,Kingston,ON,CAN,CAN,71,183,2008,4,97,20102011,N,1,0,0,0
Bill Arnold,R,C,1992-05-13,Boston,MA,USA,USA,72,193,2010,4,108,20132014,N,1,0,0,0
Jason Arnott,R,C,1974-10-11,Collingwood,ON,CAN,CAN,77,220,1993,1,7,19931994,N,208,53,58,111
Dean Arsene,L,D,1980-07-20,Murrayville,BC,CAN,CAN,74,205,--,--,--,20092010,N,13,0,0,0
Evgeny Artyukhin,L,R,1983-04-04,Moscow,--,RUS,RUS,76,255,2001,3,94,20052006,N,54,9,7,16
Viktor Arvidsson,R,R,1993-04-08,Skellefteå,--,SWE,SWE,69,180,2014,4,112,20142015,N,385,127,112,239
Arron Asham,R,R,1978-04-13,Portage la Prairie,MB,CAN,CAN,71,210,1996,3,71,19981999,N,213,22,31,53
Carter Ashton,L,R,1991-04-01,Winnipeg,MB,CAN,CAN,75,215,2009,1,29,20112012,N,54,0,3,3
Rasmus Asplund,L,C,1997-12-03,Filipstad,--,SWE,SWE,71,189,2016,2,33,20192020,N,54,8,6,14
Zach Aston-Reese,L,L,1994-08-10,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,N,158,27,23,50
Andreas Athanasiou,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,188,2012,4,110,20152016,N,344,94,84,178
Cam Atkinson,R,R,1989-06-05,Riverside,CT,USA,USA,68,176,2008,6,157,20112012,N,624,212,187,399
Nicolas Aube-Kubel,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,71,187,2014,2,48,20182019,N,91,10,17,27
Adrian Aucoin,R,D,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,5,117,19941995,N,257,13,50,63
Keith Aucoin,L,C,1978-11-06,Waltham,MA,USA,USA,68,171,--,--,--,20052006,N,80,10,18,28
Justin Auger,R,R,1994-05-14,Kitchener,ON,CAN,CAN,78,232,2013,4,103,20172018,N,2,0,0,0
Keith Aulie,L,D,1989-06-11,Rouleau,SK,CAN,CAN,78,222,2007,4,116,20102011,N,167,4,10,14
Brady Austin,L,D,1993-06-16,Bobcaygeon,ON,CAN,CAN,76,230,2012,7,193,20162017,N,5,0,0,0
Yohann Auvitu,L,D,1989-07-27,Ivry-sur-Seine,--,FRA,FRA,71,187,--,--,--,20162017,N,58,5,8,13
Sean Avery,L,L,1980-04-10,North York,ON,CAN,CAN,70,195,--,--,--,20012002,N,160,17,41,58
Anton Babchuk,R,D,1984-05-06,Kiev,--,UKR,UKR,77,200,2002,1,21,20032004,N,121,13,33,46
David Backes,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,761,194,259,453
Mikael Backlund,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20082009,N,737,153,239,392
Nicklas Backstrom,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,844,222,600,822
Sven Baertschi,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,291,66,72,138
Drew Bagnall,L,D,1983-10-26,Oakbank,MB,CAN,CAN,75,220,2003,6,195,20102011,N,2,0,0,0
Kevin Bahl,L,D,2000-06-27,New Westminster,BC,CAN,CAN,78,230,2018,2,55,20202021,N,3,0,1,1
Casey Bailey,R,R,1991-10-27,Anchorage,AK,USA,USA,75,195,--,--,--,20142015,N,13,1,0,1
Josh Bailey,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,847,155,329,484
Justin Bailey,R,R,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,2,52,20152016,N,68,5,4,9
Rudolfs Balcers,L,L,1997-04-08,Liepaja,--,LVA,LVA,71,180,2015,5,142,20182019,N,87,13,20,33
Chase Balisy,L,C,1992-02-02,Fullerton,CA,USA,USA,71,179,2011,6,170,20172018,N,8,0,0,0
Keith Ballard,L,D,1982-11-26,Baudette,MN,USA,USA,71,204,2002,1,11,20052006,N,289,13,41,54
Carter Bancks,L,L,1989-08-09,Calgary,AB,CAN,CAN,71,181,--,--,--,20122013,N,2,0,0,0
Daniel Bang,L,L,1987-04-19,Stockholm,--,SWE,SWE,75,208,--,--,--,20122013,N,8,0,2,2
Nick Baptiste,R,R,1995-08-04,Ottawa,ON,CAN,CAN,73,203,2013,3,69,20162017,N,47,7,3,10
Alexander Barabanov,L,L,1994-06-17,St. Petersburg,--,RUS,RUS,70,192,--,--,--,20202021,N,17,2,3,5
Ivan Barbashev,L,C,1995-12-14,Moscow,--,RUS,RUS,72,187,2014,2,33,20162017,N,263,41,45,86
Riley Barber,R,R,1994-02-07,Pittsburgh,PA,USA,USA,72,203,2012,6,167,20162017,N,12,0,0,0
Mark Barberio,L,D,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,272,14,42,56
Krys Barch,L,R,1980-03-26,Hamilton,ON,CAN,CAN,74,225,1998,4,106,20062007,N,235,4,14,18
Cole Bardreau,R,C,1993-07-22,Fairport,NY,USA,USA,70,185,--,--,--,20192020,N,10,1,1,2
Cam Barker,L,D,1986-04-04,Winnipeg,MB,CAN,CAN,75,223,2004,1,3,20052006,N,161,8,22,30
Aleksander Barkov,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,527,181,282,463
Alex Barre-Boulet,L,C,1997-05-21,Montmagny,QC,CAN,CAN,70,180,--,--,--,20202021,N,12,2,0,2
Tyson Barrie,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,603,87,301,388
Morgan Barron,L,C,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20202021,N,2,0,0,0
Matt Bartkowski,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,7,190,20102011,N,256,8,40,48
Philip Holm,L,D,1991-12-08,Stockholm,--,SWE,SWE,73,190,--,--,--,20172018,N,1,0,0,0
Ben Holmstrom,R,C,1987-04-09,Colorado Springs,CO,USA,USA,73,203,--,--,--,20102011,N,7,0,0,0
Tomas Holmstrom,L,L,1973-01-23,Pitea,--,SWE,SWE,72,200,1994,10,257,19961997,N,215,54,52,106
Jonas Holos,R,D,1987-08-27,Sarpsborg,--,NOR,NOR,71,196,2008,6,170,20102011,N,39,0,6,6
Korbinian Holzer,R,D,1988-02-16,Munich,--,DEU,DEU,75,213,2006,4,111,20102011,N,206,6,21,27
Julius Honka,R,D,1995-12-03,Jyväskylä,--,FIN,FIN,71,180,2014,1,14,20162017,N,87,2,11,13
Roman Horak,L,C,1991-05-21,Ceské Budejovice,--,CZE,CZE,72,170,2009,5,126,20112012,N,84,6,13,19
Shawn Horcoff,L,C,1978-09-17,Trail,BC,CAN,CAN,73,210,1998,4,99,20002001,N,448,66,107,173
Darcy Hordichuk,L,L,1980-08-10,Kamsack,SK,CAN,CAN,73,215,2000,6,180,20002001,N,167,3,7,10
Patric Hornqvist,R,R,1987-01-01,Sollentuna,--,SWE,SWE,71,189,2005,7,230,20082009,N,786,250,255,505
Nathan Horton,R,R,1985-05-29,Welland,ON,CAN,CAN,74,229,2003,1,3,20032004,N,270,81,102,183
Bo Horvat,L,C,1995-04-05,London,ON,CAN,CAN,72,215,2013,1,9,20142015,N,491,136,173,309
Marian Hossa,L,R,1979-01-12,Stará Lubovna,--,SVK,SVK,73,207,1997,1,12,19971998,N,534,186,229,415
Brett Howden,L,C,1998-03-29,Calgary,AB,CAN,CAN,75,200,2016,1,27,20182019,N,178,16,33,49
Quinton Howden,L,C,1992-01-21,Winnipeg,MB,CAN,CAN,74,189,2010,1,25,20122013,N,97,10,7,17
Raman Hrabarenka,R,D,1992-08-24,Mogilev,--,BLR,BLR,76,230,--,--,--,20142015,N,1,0,0,0
Marek Hrivik,R,L,1991-08-28,Cadca,--,SVK,SVK,74,197,--,--,--,20152016,N,24,0,3,3
Filip Hronek,R,D,1997-11-02,Hradec Králové,--,CZE,CZE,72,183,2016,2,53,20182019,N,165,16,61,77
Jonathan Huberdeau,L,L,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,202,2011,1,3,20122013,N,590,167,329,496
Jiri Hudler,L,R,1984-01-04,Olomouc,--,CZE,CZE,70,190,2002,2,58,20032004,N,453,112,189,301
Charles Hudon,L,L,1994-06-23,Alma,QC,CAN,CAN,70,190,2012,5,122,20152016,N,125,14,27,41
Cameron Hughes,L,C,1996-10-09,Edmonton,AB,CAN,CAN,71,160,2015,6,165,20192020,N,1,0,0,0
Jack Hughes,L,C,2001-05-14,Orlando,FL,USA,USA,71,176,2019,1,1,20192020,N,113,18,32,50
Quinn Hughes,L,D,1999-10-14,Orlando,FL,USA,USA,70,180,2018,1,7,20182019,N,118,11,80,91
Brad Hunt,L,D,1988-08-24,Maple Ridge,BC,CAN,CAN,69,177,--,--,--,20132014,N,190,19,40,59
Dryden Hunt,L,L,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,--,--,--,20172018,N,86,6,17,23
Trent Hunter,R,R,1980-07-05,Red Deer,AB,CAN,CAN,75,217,1998,6,150,20022003,N,116,14,25,39
Matt Hunwick,L,D,1985-05-21,Warren,MI,USA,USA,71,194,2004,7,224,20072008,N,469,19,72,91
Kristian Huselius,L,L,1978-11-10,Osterhaninge,--,SWE,SWE,74,184,1997,2,47,20012002,N,115,37,49,86
Kent Huskins,L,D,1979-05-04,Almonte,ON,CAN,CAN,76,210,1998,6,156,20062007,N,176,7,33,40
Andrew Hutchinson,R,D,1980-03-24,Evanston,IL,USA,USA,74,195,1999,2,54,20032004,N,5,0,1,1
Ben Hutton,L,D,1993-04-20,Brockville,ON,CAN,CAN,74,206,2012,5,147,20152016,N,376,16,75,91
Tomas Hyka,R,R,1993-03-23,Mlada Boleslav,--,CZE,CZE,71,160,2012,6,171,20172018,N,27,2,5,7
Zach Hyman,R,L,1992-06-09,Toronto,ON,CAN,CAN,73,211,2010,5,123,20152016,N,345,86,99,185
Alex Iafallo,L,L,1993-12-21,Eden,NY,USA,USA,72,188,--,--,--,20172018,N,275,52,75,127
Jarome Iginla,R,R,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,1,11,19961997,N,612,216,233,449
Danny Irmen,R,C,1984-09-06,Fargo,ND,USA,USA,72,182,2003,3,78,20092010,N,2,0,0,0
Brayden Irwin,R,C,1987-03-24,Toronto,ON,CAN,CAN,77,215,--,--,--,20092010,N,2,0,0,0
Matt Irwin,L,D,1987-11-29,Victoria,BC,CAN,CAN,74,189,--,--,--,20122013,N,383,22,62,84
Raitis Ivanans,L,L,1979-01-03,Riga,--,LVA,LVA,76,231,--,--,--,20052006,N,63,0,0,0
Barret Jackman,L,D,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,1,17,20012002,N,485,12,78,90
Tim Jackman,R,R,1981-11-14,Minot,ND,USA,USA,74,225,2001,2,38,20032004,N,346,25,31,56
Scott Jackson,L,D,1987-02-05,Salmon Arm,BC,CAN,CAN,75,219,2005,2,37,20092010,N,1,0,0,0
Josh Jacobs,R,D,1996-02-15,Shelby Township,MI,USA,USA,74,200,2014,2,41,20182019,N,3,0,0,0
Jean-Francois Jacques,L,L,1985-04-29,Montreal,QC,CAN,CAN,75,231,2003,2,68,20052006,N,106,8,8,16
Jason Jaffray,L,L,1981-06-30,Olds,AB,CAN,CAN,73,195,--,--,--,20072008,N,16,0,1,1
Jaromir Jagr,L,R,1972-02-15,Kladno,--,CZE,CZE,75,230,1990,1,5,19901991,N,460,120,202,322
Doug Janik,L,D,1980-03-26,Agawam,MA,USA,USA,74,211,1999,2,55,20022003,N,29,0,3,3
Mark Jankowski,L,C,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,1,21,20162017,N,253,40,35,75
Mattias Janmark,L,C,1992-12-08,Danderyd,--,SWE,SWE,73,195,2013,3,79,20152016,N,347,57,74,131
Cam Janssen,R,R,1984-04-15,St. Louis,MO,USA,USA,72,215,2002,4,117,20052006,N,173,4,4,8
Calle Jarnkrok,R,C,1991-09-25,Gävle,--,SWE,SWE,71,186,2010,2,51,20132014,N,506,93,116,209
Christian Jaros,R,D,1996-04-02,Kosice,--,SVK,SVK,75,222,2015,5,139,20172018,N,82,1,13,14
Dmitrij Jaskin,L,R,1993-03-23,Omsk,--,RUS,CZE,74,216,2011,2,41,20122013,N,303,27,42,69
Tanner Jeannot,L,L,1997-05-29,Estevan,SK,CAN,CAN,74,208,--,--,--,20202021,N,12,3,1,4
Dustin Jeffrey,L,L,1988-02-27,Sarnia,ON,CAN,CAN,73,205,2007,6,171,20082009,N,117,17,13,30
Boone Jenner,L,C,1993-06-15,Dorchester,ON,CAN,CAN,74,207,2011,2,37,20132014,N,530,121,119,240
Nick Jensen,R,D,1990-09-21,Rogers,MN,USA,USA,73,205,2009,5,149,20162017,N,327,8,62,70
Nicklas Jensen,L,R,1993-03-06,Herning,--,DNK,DNK,75,216,2011,1,29,20122013,N,31,3,3,6
Jakub Jerabek,L,D,1991-05-12,Pilsen,--,CZE,CZE,71,199,--,--,--,20172018,N,37,2,6,8
Hugh Jessiman,R,R,1984-03-28,New York City,NY,USA,USA,78,221,2003,1,12,20102011,N,2,0,0,0
Jesse Joensuu,L,L,1987-10-05,Pori,--,FIN,FIN,76,213,2006,2,60,20082009,N,122,12,9,21
Ryan Johansen,R,C,1992-07-31,Vancouver,BC,CAN,CAN,75,218,2010,1,4,20112012,N,705,150,312,462
Marcus Johansson,L,C,1990-10-06,Landskrona,--,SWE,SWE,73,203,2009,1,24,20102011,N,679,135,243,378
Stephen Johns,R,D,1992-04-18,Ellwood City,PA,USA,USA,76,225,2010,2,60,20152016,N,167,15,18,33
Aaron Johnson,L,D,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73,204,2001,3,85,20032004,N,107,7,19,26
Adam Johnson,L,C,1994-06-22,Grand Rapids,MN,USA,USA,72,174,--,--,--,20182019,N,13,1,3,4
Erik Johnson,R,D,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,20072008,N,711,75,196,271
Jack Johnson,L,D,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,1,3,20062007,N,830,62,219,281
Justin Johnson,R,R,1981-05-05,Anchorage,AK,USA,USA,73,220,--,--,--,20132014,N,2,0,0,0
Luke Johnson,R,C,1994-09-19,Grand Forks,ND,USA,USA,71,174,2013,5,134,20182019,N,31,1,1,2
Nick Johnson,R,R,1985-12-24,Calgary,AB,CAN,CAN,74,200,2004,3,67,20092010,N,113,14,23,37
Reese Johnson,R,C,1998-07-10,Regina,SK,CAN,CAN,73,193,--,--,--,20202021,N,5,0,0,0
Ryan Johnson,L,C,1976-06-14,Thunder Bay,ON,CAN,CAN,73,199,1994,2,36,19971998,N,92,2,9,11
Tyler Johnson,R,C,1990-07-29,Spokane,WA,USA,USA,68,185,--,--,--,20122013,N,585,160,199,359
Andreas Johnsson,L,L,1994-11-21,Gävle,--,SWE,SWE,70,194,2013,7,202,20172018,N,173,34,43,77
Kim Johnsson,L,D,1976-03-16,Malmö,--,SWE,SWE,73,193,1994,11,286,19992000,N,60,7,10,17
Ross Johnston,L,L,1994-02-18,Charlottetown,PE,CAN,CAN,77,235,--,--,--,20152016,N,83,7,7,14
Ryan Johnston,R,D,1992-02-14,Sudbury,ON,CAN,CAN,70,180,--,--,--,20152016,N,10,0,0,0
Henri Jokiharju,R,D,1999-06-17,Oulu,--,FIN,FIN,72,199,2017,1,29,20182019,N,150,7,28,35
Jussi Jokinen,L,L,1983-04-01,Kalajoki,--,FIN,FIN,72,191,2001,6,192,20052006,N,645,137,254,391
Olli Jokinen,L,C,1978-12-05,Kuopio,--,FIN,FIN,74,210,1997,1,3,19971998,N,432,84,148,232
Jyrki Jokipakka,L,D,1991-08-20,Tampere,--,FIN,FIN,75,215,2011,7,195,20142015,N,150,3,25,28
Blair Jones,R,C,1986-09-27,Central Butte,SK,CAN,CAN,74,216,2005,4,102,20062007,N,108,6,8,14
Caleb Jones,L,D,1997-06-06,Arlington,TX,USA,USA,73,194,2015,4,117,20182019,N,88,5,13,18
Connor Jones,L,C,1990-08-16,Montrose,BC,CAN,CAN,69,182,--,--,--,20162017,N,4,0,0,0
David Jones,R,R,1984-08-10,Guelph,ON,CAN,CAN,75,208,2003,9,288,20072008,N,395,94,78,172
Max Jones,L,L,1998-02-17,Rochester,MI,USA,USA,73,220,2016,1,24,20182019,N,131,16,11,27
Randy Jones,L,D,1981-07-23,Quispamsis,NB,CAN,CAN,74,210,--,--,--,20032004,N,148,7,29,36
Ryan Jones,L,L,1984-06-14,Chatham,ON,CAN,CAN,73,208,2004,4,111,20082009,N,288,47,36,83
Seth Jones,R,D,1994-10-03,Arlington,TX,USA,USA,76,213,2013,1,4,20132014,N,577,65,218,283
Zac Jones,L,D,2000-10-18,Richmond,VA,USA,USA,71,185,2019,3,68,20202021,N,7,0,1,1
Josh Jooris,R,R,1990-07-14,Burlington,ON,CAN,CAN,73,198,--,--,--,20142015,N,213,23,32,55
Michal Jordan,L,D,1990-07-17,Zlin,--,CZE,CZE,73,195,2008,4,105,20122013,N,79,3,4,7
Jacob Josefson,L,C,1991-03-02,Stockholm,--,SWE,SWE,72,196,2009,1,20,20102011,N,315,20,44,64
Mathieu Joseph,L,R,1997-02-09,Laval,QC,CAN,CAN,73,190,2015,4,120,20182019,N,159,29,22,51
Pierre-Olivier Joseph,L,D,1999-07-01,Laval,QC,CAN,CAN,74,185,2017,1,23,20202021,N,16,1,4,5
Dakota Joshua,L,C,1996-05-15,Dearborn,MI,USA,USA,74,199,2014,5,128,20202021,N,11,1,0,1
Roman Josi,L,D,1990-06-01,Bern,--,CHE,CHE,73,201,2008,2,38,20112012,N,678,117,329,446
Derek Joslin,L,D,1987-03-17,Richmond Hill,ON,CAN,CAN,73,210,2005,5,149,20082009,N,104,4,12,16
Tyson Jost,L,C,1998-03-14,St. Albert,AB,CAN,CAN,71,187,2016,1,10,20162017,N,255,35,50,85
Andrew Joudrey,L,C,1984-07-15,Halifax,NS,CAN,CAN,70,185,2003,8,249,20112012,N,1,0,0,0
Ed Jovanovski,L,D,1976-06-26,Windsor,ON,CAN,CAN,75,220,1994,1,1,19951996,N,225,19,48,67
Jonas Junland,L,D,1987-11-15,Linkoping,--,SWE,SWE,74,200,2006,3,64,20082009,N,3,0,2,2
Olli Juolevi,L,D,1998-05-05,Helsinki,--,FIN,FIN,74,182,2016,1,5,20202021,N,20,2,1,3
Milan Jurcina,R,D,1983-06-07,Liptovsky Mikulas,--,SVK,SVK,76,253,2001,8,241,20052006,N,155,8,27,35
Tomas Jurco,L,R,1992-12-28,Kosice,--,SVK,SVK,74,197,2011,2,35,20132014,N,221,22,31,53
Noah Juulsen,R,D,1997-04-02,Surrey,BC,CAN,CAN,74,201,2015,1,26,20172018,N,48,2,6,8
Tomas Kaberle,L,D,1978-03-02,Rakovnik,--,CZE,CZE,73,212,1996,8,204,19981999,N,246,14,116,130
Nazem Kadri,L,C,1990-10-06,London,ON,CAN,CAN,72,192,2009,1,7,20092010,N,661,190,231,421
Dominik Kahun,L,C,1995-07-02,Plana,--,CZE,DEU,71,175,--,--,--,20182019,N,179,31,48,79
Kaapo Kakko,L,R,2001-02-13,Turku,--,FIN,FIN,75,199,2019,1,2,20192020,N,112,19,21,40
Patrick Kaleta,R,R,1986-06-08,Buffalo,NY,USA,USA,73,198,2004,6,176,20062007,N,250,20,18,38
Sergey Kalinin,L,C,1991-03-17,Omsk,--,RUS,RUS,75,200,--,--,--,20152016,N,121,10,9,19
Jon Kalinski,L,L,1987-05-25,Bonnyville,AB,CAN,CAN,73,175,2007,6,152,20082009,N,10,0,2,2
Arthur Kaliyev,L,R,2001-06-26,Tashkent,--,UZB,USA,74,190,2019,2,33,20202021,N,1,1,0,1
Petr Kalus,L,R,1987-06-29,Ostrava,--,CZE,CZE,73,201,2005,2,39,20062007,N,2,0,0,0
Wyatt Kalynuk,L,D,1997-04-14,Brandon,MB,CAN,CAN,73,180,2017,7,196,20202021,N,17,4,4,8
Vladislav Kamenev,L,C,1996-08-12,Orsk,--,RUS,RUS,74,194,2014,2,42,20162017,N,66,3,10,13
David Kampf,L,C,1995-01-12,Chomutov,--,CZE,CZE,74,188,--,--,--,20172018,N,231,17,40,57
Steven Kampfer,R,D,1988-09-24,Ann Arbor,MI,USA,USA,71,198,2007,4,93,20102011,N,230,15,24,39
Tomas Kana,R,C,1987-11-29,Opava,--,CZE,CZE,72,204,2006,2,31,20092010,N,6,0,2,2
Boyd Kane,L,L,1978-04-18,Swift Current,SK,CAN,CAN,74,229,1998,4,114,20032004,N,3,0,0,0
Evander Kane,L,L,1991-08-02,Vancouver,BC,CAN,CAN,74,210,2009,1,4,20092010,N,764,262,238,500
Patrick Kane,L,R,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,1,1,20072008,N,863,358,584,942
Kasperi Kapanen,R,R,1996-07-23,Kuopio,--,FIN,FIN,73,194,2014,1,22,20152016,N,239,51,66,117
Michael Kapla,L,D,1994-09-19,Eau Claire,WI,USA,USA,72,200,--,--,--,20162017,N,5,0,0,0
Kirill Kaprizov,L,L,1997-04-26,Novokuznetsk,--,RUS,RUS,69,201,2015,5,135,20202021,N,50,23,20,43
